algorithm,resolution,seed,raw_min,raw_max,roughness_mean,roughness_std,height_mean,height_std,height_skew,height_kurtosis,slope_mean_deg,slope_std_deg,slope_mode_deg,local_minima_count,local_minima_density
erosion,256,0,-0.42147772190667604,0.4161175196301326,0.01226491278842334,0.00637543401620409,0.5072175768393273,0.19831641165386424,-0.03879831242924014,-0.41649525270041776,0.7026609724889794,0.365197568596672,2.5,1022,0.015594482421875
erosion,256,1,-0.3745423042535413,0.4690838712690643,0.011805755869699524,0.006226823105224878,0.48632380168341627,0.1744893421958295,0.3101112805277503,-0.15599427327920035,0.6763593084490879,0.3566883307667514,2.5,1088,0.0166015625
erosion,256,2,-0.3123535367462611,0.3992399479891653,0.013737967377853042,0.007185850367771002,0.4218474899046114,0.18100576769013435,0.2650243986329425,-0.2586435927453783,0.7870327971380473,0.411590780451988,2.5,1142,0.017425537109375
erosion,256,3,-0.4981512685117306,0.3487733709713414,0.012528570625394553,0.006294362618509245,0.577297222710149,0.16691260058564686,-0.30500074956942497,-0.0652496959849076,0.7177656933867627,0.3605540112206972,2.5,958,0.014617919921875
erosion,256,4,-0.4574812650680542,0.40664680610819454,0.011324583810270116,0.00600294560048426,0.5400386850695393,0.15287722917287924,-0.22170475089968242,0.2272800337181149,0.6487972070382384,0.3438721407068679,2.5,1170,0.017852783203125
erosion,512,0,-0.4229438511289691,0.41477830034607627,0.012097148924661015,0.00627393797980395,0.4876903123630398,0.16975125766109048,0.12739697091811164,-0.20545563799391653,0.6930516951458484,0.3593864343487848,2.5,4230,0.01613616943359375
erosion,512,1,-0.42621145372401353,0.46952924157720866,0.0111063501184658,0.005828140823770045,0.49482151446982103,0.14762495237183745,0.043441777296911635,-0.014696906767853068,0.6362968587421715,0.3338610196568349,2.5,4407,0.016811370849609375
erosion,512,2,-0.49393630318213466,0.3994584004993376,0.011182804662542907,0.005812843308586639,0.5397715982770648,0.1553843844078897,0.09050007150894987,-0.2082384515689748,0.6406768701462777,0.33298458746189574,2.5,4397,0.016773223876953125
erosion,512,3,-0.5137196448102237,0.4831868705030432,0.010349266681038725,0.005349942180257096,0.5250488821832067,0.14282026675666878,-0.2615370460023613,0.1527436632840442,0.5929294511203214,0.30647714605672133,2.5,4159,0.015865325927734375
erosion,512,4,-0.48516013364024413,0.42955338975295915,0.011267978778225267,0.005879743696637115,0.5417698237138154,0.15948223819561932,-0.08610369489475332,-0.2937044497441561,0.6455556334431555,0.33681575308848966,2.5,4153,0.015842437744140625
erosion,1024,0,-0.4433733675587326,0.46912090519362337,0.011102444680330562,0.005763000587420711,0.483175630962834,0.15165618986680168,0.0346632435652764,-0.17701852240196958,0.636073740321555,0.33013031942934984,2.5,17095,0.016303062438964844
erosion,1024,1,-0.4743146920756093,0.4685549056676599,0.010716077044893147,0.005586656498775353,0.505680010609396,0.14563210178191943,-0.026731333791245596,-0.14857355008300743,0.6139413058296533,0.32003284232342744,2.5,17298,0.016496658325195312
erosion,1024,2,-0.4898289265772156,0.41026806831359863,0.011164030046096788,0.005786717810401887,0.5468722964367206,0.15274706227625864,0.014716315642476087,-0.36467219198972334,0.6396016183937957,0.33148882600022245,2.5,17350,0.016546249389648438
erosion,1024,3,-0.5159460782994442,0.483522891998291,0.010188194910975744,0.005318175334636137,0.5247960001671982,0.1413191319286869,-0.09088221164700164,-0.10148956278920096,0.5837021162443088,0.3046581727479688,2.5,17300,0.016498565673828125
erosion,1024,4,-0.48806327088714263,0.4695113924274653,0.010627876201855197,0.005516780207604944,0.5154170613319473,0.1492323344220914,-0.05669380936001907,-0.35552020494005276,0.6088890725917325,0.31603117739642533,2.5,16928,0.016143798828125
erosion,2048,0,-0.4810681750728573,0.49420030460789294,0.010386472324638267,0.005392052073188248,0.4927151565898671,0.14348023416872438,0.015643647867236456,-0.24789178948576707,0.5950605327490753,0.3088885818824524,2.5,68643,0.016365766525268555
erosion,2048,1,-0.5352852888371605,0.5258702277487854,0.009505875761345152,0.0049343421369454354,0.5047714955978463,0.131141790507179,-0.018983778389240223,-0.186050279480797,0.5446155262954627,0.28267623617722065,2.5,68561,0.016346216201782227
erosion,2048,2,-0.49370116194257496,0.5491878986358643,0.009653608805936178,0.0050058288863584054,0.4732582765972028,0.1336323952856309,-0.028820585715257595,-0.2520627149948975,0.5530785677271722,0.2867702085367845,2.5,69206,0.016499996185302734
erosion,2048,3,-0.5191633872848912,0.5263615361634252,0.009701286091941439,0.005041126401506874,0.49683846056253617,0.13501526646548023,-0.047044869461751584,-0.11801419762753307,0.5558097065009794,0.28879169383865205,2.5,68465,0.016323328018188477
erosion,2048,4,-0.47785214204770254,0.530590695307594,0.010008502897460981,0.0051925384308533695,0.475325840748709,0.13780087751912815,-0.02454827559411942,-0.25688808728786716,0.5734087522751055,0.297462794866232,2.5,69088,0.01647186279296875
wfc,128,0,0.0,192.0,0.16009285876011953,0.09621306893508748,0.6033935546874969,0.2649816282319797,-0.17349505377643532,-0.5160477813814532,9.021939458463795,5.367435391831896,7.5,6407,0.39105224609375
wfc,256,0,0.0,192.0,0.15900561266598862,0.09547793360699011,0.5870768229166636,0.2690613808228934,-0.1539958933883136,-0.5261857534079408,8.963216593838405,5.331396760630983,7.5,25756,0.39300537109375
